Events_InstCode,Events_InstName,Event_Year,Event_Department,Event_College,Event_Name,Event_NameAR,Event_Desc,Event_DescAR,Event_Website,Event_main_category,Event_Category,Event_Type,HEI_role,Event_Industry,Event_specialization,Event_Venue,Event_City,Event_Country,Event_Start_Date,Event_End_Date,Event_hours,Event_Frequency,Event_Audience,Audience_Type,Event_Attendees,Event_Scope,Event_Registration,Event_Ticket_Price,Event_Budget,Event_student_ind,Last_Updated
81,Ajman University,2025,Medicine,College of Law,Rashid Hassan,عائشة سالم,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Regular,https://www.institution.ac.ae/faculty,CE,AC,Part-time,OE,32,05,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Ajman,301,2022-01-08,2026-08-06,21,OT,ST,Part-time,A,L,N,2192390.23,7312774.05,Y,2023-05-29
83,British University in Dubai,2025,Arabic Studies,College of Business,Hassan Al Kaabi,عائشة سالم,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Primary,https://www.institution.ac.ae/research,CE,AC,Online,OE,40,13,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Abu Dhabi,386,2022-03-13,2026-12-06,3,OT,ST,Full-time,A,L,N,6821827.16,1393851.92,Y,2024-05-20
75,United Arab Emirates University,2025,Accounting,College of Information Technology,Aisha Al Nuaimi,شما سلطان,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Default,https://www.institution.ac.ae/research,CE,AC,Online,OE,84,03,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Fujairah,458,2022-05-19,2026-09-16,96,OT,ST,Full-time,A,L,N,2279807.41,6997691.58,Y,2024-03-25
83,British University in Dubai,2024,Electrical Engineering,College of Arts and Humanities,Shamma Al Dhaheri,مريم أحمد,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Primary,https://www.institution.ac.ae/faculty,CE,AC,Full-time,OE,63,04,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Umm Al Quwain,347,2024-05-28,2025-05-21,76,OT,ST,Part-time,A,L,N,6048251.73,797651.76,Y,2020-04-16
76,Zayed University,2025,Computer Science,College of Information Technology,Majid Al Nuaimi,فاطمة علي,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Regular,https://www.institution.ac.ae/programs,CE,AC,Online,OE,93,09,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Fujairah,426,2024-08-02,2024-05-21,26,OT,ST,Part-time,A,L,N,8431868.22,484686.66,Y,2021-10-09
79,University of Sharjah,2025,Computer Science,College of Education,Shamma Al Junaibi,أحمد محمد,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Primary,https://www.institution.ac.ae/programs,CE,AC,Part-time,OE,80,14,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Ajman,294,2024-11-01,2024-02-19,40,OT,ST,Full-time,A,L,N,912791.35,5091786.34,Y,2020-06-26
84,Dubai Medical College,2025,Education,College of Arts and Humanities,Maitha Al Falasi,محمد حسن,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Default,https://www.institution.ac.ae/programs,CE,AC,Full-time,OE,18,52,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Sharjah,326,2024-10-16,2024-01-14,13,OT,ST,Online,A,L,N,6917597.29,618980.95,Y,2020-07-03
81,Ajman University,2025,History,College of Business,Salem Patel,حسن عبدالله,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Normal,https://www.institution.ac.ae/programs,CE,AC,Full-time,OE,93,11,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Sharjah,287,2024-08-19,2025-03-16,74,OT,ST,Online,A,L,N,2503069.11,2106232.67,Y,2022-07-24
83,British University in Dubai,2025,Medicine,College of Engineering,Abdullah Al Shamsi,محمد حسن,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Primary,https://www.institution.ac.ae/research,CE,AC,Online,OE,43,26,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Sharjah,451,2024-02-09,2024-08-18,49,OT,ST,Online,A,L,N,9048104.07,6912961.88,Y,2020-05-16
82,American University in Dubai,2024,History,College of Information Technology,Ahmed Al Zaabi,عائشة سالم,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Primary,https://www.institution.ac.ae/faculty,CE,AC,Online,OE,3,14,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Abu Dhabi,240,2022-05-29,2025-05-17,23,OT,ST,Online,A,L,N,152465.48,548351.06,Y,2025-11-04
